[1.5194805194805194, 'able foresee consequences']
[0.9211487550685299, 'inherent limitations private']
[0.9209226112299398, 'regard fair balance']
[0.9208844271257585, 'authorities benefit direct']
[0.9194099095576928, 'legal protection arbitrary']
[0.9184637573850402, 'competing interests individual']
[0.9183173514383705, 'effective respect family']
[0.9147645211930926, 'addition positive obligations']
[0.910574651389999, 'case originated application']
[0.9103644732795303, 'ill founded meaning']
[0.9099646685777912, 'measures designed secure']
[0.8977977967480243, 'basis domestic law']
[0.8974303342599498, 'obligations inherent effective']
[0.8963902989283701, 'contact persons concerned']
[0.8926187297348847, 'interests individual community']
[0.8911921576142194, 'accordance law pursues']
[0.8911419799063178, 'element family life']
[0.8877551020408163, 'entry residence aliens']
[0.8857142857142856, 'previously held various']
[0.8857142857142856, 'various contexts concept']
[0.8806122448979592, 'self determination physical']
[0.8806122448979592, 'settled secure place']
[0.8806122448979592, 'individual identity self']
[0.8806122448979592, 'relationships settled secure']
[0.8806122448979592, 'maintenance relationships settled']
[0.8806122448979592, 'secure place community']
[0.8806122448979592, 'determination physical moral']
[0.8806122448979592, 'integrity maintenance relationships']
[0.8806122448979592, 'moral integrity maintenance']
[0.8746542109122077, 'adopted date procedure']
[0.873594335693461, 'effective enjoyment intimate']
[0.873594335693461, 'right stake crucial']
[0.873594335693461, 'enjoyment intimate key']
[0.873594335693461, 'stake crucial individual']
[0.873594335693461, 'crucial individual effective']
[0.873594335693461, 'intimate key rights']
[0.8704184704184702, 'unless accordance law']
[0.8692810457516341, 'domestic law refers']
[0.8676243681830274, 'private life sphere']
[0.8673275991277817, 'assist maintaining contact']
[0.8660591480932732, 'private family life']
[0.8599110639926968, 'requisite protection interests']
[0.8579478672376323, 'essential object article']
[0.8515406162464986, 'measures interference fair']
[0.8512592592592593, 'making process leading']
[0.8512075971328129, 'state positive negative']
[0.8479278236117143, 'parental rights access']
[0.8466636305847304, 'notion private life']
[0.8463470027509437, 'democratic society order']
[0.8458411142234672, 'company constitutes fundamental']
[0.8458411142234672, 'fundamental element family']
[0.8458411142234672, 'constitutes fundamental element']
[0.8425044091710759, 'number family visits']
[0.8403122144470928, 'merits application time']
[0.83718820861678, 'case involved complex']
[0.8356892430468025, 'allows partial reparation']
[0.832343080349996, 'decision making process']
[0.8300171994694187, 'respect private family']
[0.8296326388845818, 'afford just satisfaction']
[0.8284304027352924, 'high contracting party']
[0.82613394301706, 'direct contact persons']
[0.8257660214181952, 'contexts regard fair']
[0.8252818035426731, 'ukraine lodged court']
[0.8229634621144055, 'enjoyment parent child']
[0.8222978080120937, 'severity fall scope']
[0.8222978080120937, 'level severity fall']
[0.8220621118012424, 'effective respect private']
[0.8211008924426321, 'shall necessary afford']
[0.8211008924426321, 'court shall necessary']
[0.8211008924426321, 'necessary afford just']
[0.8179114978083671, 'satisfaction injured party']
[0.8179114978083671, 'just satisfaction injured']
[0.8155622742924329, 'length applicant stay']
[0.8116883116883117, 'passage time irremediable']
[0.8116883116883117, 'time irremediable consequences']
[0.8088514475557664, 'access natural light']
[0.8083485426691002, 'leading measures interference']
[0.8038120908740856, 'control entry aliens']
[0.8038120908740856, 'entry aliens territory']
[0.803502963182052, 'afford respect interests']
[0.8003848003848003, 'light case reasons']
[0.7960866526904263, 'mutual enjoyment parent']
[0.7960866526904263, 'parent child company']
[0.7960866526904263, 'child company constitutes']
[0.7950460391020537, 'ii alleged violation']
[0.7947338993275753, 'contexts state enjoys']
[0.7936507936507936, 'convention right issue']
[0.7929453262786595, '13 14 18']
[0.7909868448357816, 'judgment final article']
[0.7870926148237073, 'public authorities addition']
[0.7870926148237073, 'authorities addition positive']
[0.7823823406913787, 'held various contexts']
[0.7819851825068989, 'respect private life']
[0.7782312925170067, 'measure depriving person']
[0.7742857142857144, 'polish national mr']
[0.7733897436677877, 'lend precise definition']
[0.7730330842014225, 'shall entitled trial']
[0.7730330842014225, 'entitled trial reasonable']
[0.7730330842014225, 'reasonable time release']
[0.7730330842014225, 'time release pending']
[0.7721088435374148, 'fair afford respect']
[0.7700572292409026, 'tend narrower right']
[0.7684841613413042, 'right issue importance']
[0.7684841613413042, 'issue importance individual']
[0.7677626606198035, 'established international law']
[0.7673303265140001, 'states council europe']
[0.7668668635124183, 'making process seen']
[0.765045541301249, 'individual arbitrary action']
[0.765045541301249, 'arbitrary action public']
[0.764748318455371, 'depriving person liberty']
[0.764279376346812, 'right alien enter']
[0.7614795918367346, 'procedural safeguards available']
[0.7564625850340135, 'freedoms article protocol']
[0.7558244906311204, 'authorities parental rights']
[0.7527056277056277, 'serving sentence imprisonment']
[0.7475644873980992, 'judgment adopted date']
[0.746775481681142, 'child born wedlock']
[0.7459026971222092, 'assessment minimum level']
[0.7442700156985871, 'identity self determination']
[0.7434323322825065, 'inhuman degrading treatment']
[0.7420408163265305, 'family situation length']
[0.7405857581127689, 'facet individual existence']
[0.7405857581127689, 'individual existence identity']
[0.7405857581127689, 'particularly important facet']
[0.7405857581127689, 'important facet individual']
[0.7405857581127689, 'existence identity stake']
[0.735759909147006, 'manifestly ill founded']
[0.7331577792407287, '35 convention notes']
[0.7322725145854396, 'precise definition applicable']
[0.7322725145854396, 'definition applicable principles']
[0.7319727891156461, 'family life spouse']
[0.7315561631351105, 'task substitute domestic']
[0.7261363636363636, 'depends circumstances case']
[0.7256410256410255, 'protocol natural legal']
[0.7256410256410255, 'article protocol natural']
[0.725255204368149, 'relationships human beings']
[0.7249110170383943, 'expression accordance law']
[0.7246980424822991, 'reside particular country']
[0.7216931216931217, 'contexts concept private']
[0.7215007215007215, 'family relationship children']
[0.7207977207977209, 'importance case kind']
[0.7145350152840689, 'positive negative obligations']
[0.7112156690633242, 'release conditioned guarantees']
[0.7112156690633242, 'pending trial release']
[0.7112156690633242, 'guarantees appear trial']
[0.7112156690633242, 'conditioned guarantees appear']
[0.7112156690633242, 'trial release conditioned']
[0.710370247964233, 'release pending trial']
[0.7056689342403628, 'importance individual nature']
[0.7040816326530611, 'authorise family reunion']
[0.7040816326530611, 'family reunion territory']
[0.7040816326530611, 'residence authorise family']
[0.6984158159163328, 'claim just satisfaction']
[0.6973350431466538, 'rate applicable date']
[0.6947704981780999, 'case reasons adduced']
[0.6945022907122033, 'review light convention']
[0.6930817610062893, 'torture inhuman degrading']
[0.692828920645471, 'convention notes inadmissible']
[0.69196537813481, 'reasons adduced justify']
[0.6906633203443189, 'explicit procedural requirements']
[0.6894296180010466, 'sufficient purposes paragraph']
[0.6893083047755443, 'develop relationships human']
[0.6882236537408952, 'obligation national authorities']
[0.6875423155044009, 'consider light case']
[0.6862901296517439, 'notes inadmissible grounds']
[0.6856286570572285, 'establish develop relationships']
[0.6856125627821221, 'pre trial detention']
[0.6814043231717097, 'enter reside particular']
[0.6814043231717097, 'alien enter reside']
[0.6795386181683557, 'respect correspondence shall']
[0.6791148845412411, 'human beings outside']
[0.6791148845412411, 'beings outside world']
[0.6783602329820817, 'seriousness offence committed']
[0.6774781341107873, 'degrading treatment punishment']
[0.6768013327780091, 'review convention decisions']
[0.6766091051805337, 'costs preparation presentation']
[0.6766091051805337, 'fees costs preparation']
[0.6741257906671441, 'residence disputes concerning']
[0.6729911919416294, 'margin tend narrower']
[0.6713989943803609, 'private life broad']
[0.6709645628875293, 'identity stake margin']
[0.670299938157081, 'interference fair afford']
[0.6693121693121694, 'rule admissibility merits']
[0.6663014768953773, 'process leading measures']
[0.665859564164649, 'convicted criminal offences']
[0.6656884976212708, 'community contexts state']
[0.6656884976212708, 'individual community contexts']
[0.6649659863945578, 'hague convention civil']
[0.6632653061224488, 'case applicant born']
[0.661953973078593, 'freedoms convention polish']
[0.6618820861678003, 'offence time entered']
[0.6618820861678003, 'seriousness difficulties spouse']
[0.6618820861678003, 'length marriage factors']
[0.6618820861678003, 'period nationalities various']
[0.6618820861678003, 'conduct period nationalities']
[0.6618820861678003, 'difficulties spouse likely']
[0.6618820861678003, 'entered family relationship']
[0.6618820861678003, 'knew offence time']
[0.6618820861678003, 'nationalities various persons']
[0.6618820861678003, 'relationship children marriage']
[0.6618820861678003, 'spouse knew offence']
[0.6618820861678003, 'spouse likely encounter']
[0.6618820861678003, 'applicant stay country']
[0.6618820861678003, 'children marriage age']
[0.6618820861678003, 'situation length marriage']
[0.6618820861678003, 'time entered family']
[0.6617192331478046, 'necessary secure proper']
[0.6616250944822373, 'consideration lies best']
[0.6587988730845874, 'demanded special circumstances']
[0.6562625050020009, 'held article includes']
[0.656084656084656, 'acts violence private']
[0.656084656084656, 'protection acts violence']
[0.656084656084656, 'apply practice adequate']
[0.656084656084656, 'legal framework affording']
[0.656084656084656, 'practice adequate legal']
[0.6554547745023935, 'susceptible exhaustive definition']
[0.6544574039969988, 'stricter scrutiny called']
[0.6533111203665141, 'minimum degree protection']
[0.652537938252224, 'article 14 does']
[0.6523409363745498, 'authorities taken exercise']
[0.6523409363745498, 'decisions authorities taken']
[0.6504242465574367, 'relevant sufficient purposes']
[0.6472694378739817, 'law alleged violation']
[0.6472067614924757, 'existence effect solely']
[0.6472067614924757, 'independent existence effect']
[0.6472067614924757, 'effect solely relation']
[0.6458728616163019, 'republic poland lodged']
[0.6458728616163019, 'poland european court']
[0.6433675084468735, 'necessary steps facilitate']
[0.6431514913657771, 'task substitute competent']
[0.6411707540158921, 'mind national authorities']
[0.6407563025210085, 'formal sphere covered']
[0.6407563025210085, 'understood substantive sense']
[0.6407563025210085, 'term law understood']
[0.6407563025210085, 'law understood substantive']
[0.6407563025210085, 'sense formal sphere']
[0.6397644123812096, 'convention polish national']
[0.6395187704711515, 'actually incurred reimbursed']
[0.6388888888888888, 'balance relevant interests']
[0.6378290446613428, 'degree sufficient provide']
[0.6374269005847955, 'home shall interference']
[0.6374163347431528, 'margin allowed state']
[0.6361317254174396, 'shall sent addressee']
[0.634912028239096, 'subjected torture inhuman']
[0.634912028239096, 'shall subjected torture']
[0.6338908846934529, 'restrictions placed authorities']
[0.6295036533131771, 'contact close family']
[0.6267806267806268, 'treatment degrading meaning']
[0.6267806267806268, 'object humiliate debase']
[0.622609458052496, 'certain margin appreciation']
[0.6212959760175257, 'possibility read conceivably']
[0.6212959760175257, 'create risk reprisals']
[0.6212959760175257, 'reprisals prison staff']
[0.6212959760175257, 'risk reprisals prison']
[0.6212959760175257, 'rise possibility read']
[0.6205860821101413, 'child best interests']
[0.6201115711985278, 'provide requisite protection']
[0.6189709686691578, '2013 delivers following']
[0.6158898398068905, 'family life meaning']
[0.6157973481917143, 'thorough effective investigation']
[0.614522673418379, 'life meaning article']
[0.6129251700680272, 'ukrainian government government']
[0.6129251700680272, 'ukraine european court']
[0.6127063228392132, '78 police criminal']
[0.6119757793227181, 'absence purpose conclusively']
[0.6119757793227181, 'purpose conclusively rule']
[0.610423812050354, 'member states council']
[0.6102040816326532, 'biological father child']
[0.607901150024425, 'mentioned date procedure']
[0.6049846839320524, 'involving allegation failure']
[0.6049846839320524, 'allegation failure respondent']
[0.6048210588583259, 'authorities failed carry']
[0.6014200518566569, 'enjoy wide margin']
[0.5998583886782644, 'concept private life']
[0.5977722772277227, 'authorities does merely']
[0.5977722772277227, 'public authorities does']
[0.5955618231647288, 'south east turkey']
[0.5947420634920635, 'amounts converted new']
[0.5937901856269203, 'circumstances subject matter']
[0.5936029411764706, 'meaning article convention']
[0.5933714016420782, 'principles nonetheless similar']
[0.5930758374377143, 'domestic law practice']
[0.5924041357974436, 'reasons court unanimously']
[0.5907877463081262, 'objective reasonable justification']
[0.5902936784469885, 'article 14 convention']
[0.589713157990469, 'contains explicit procedural']
[0.588339853645976, 'physical moral integrity']
[0.5865416214795097, 'sufficient provide requisite']
[0.5859588074861282, 'amounted inhuman degrading']
[0.5855334347309558, 'pressing social need']
[0.5840136054421768, 'applicant conduct period']
[0.5824175824175823, 'application article 14']
[0.5823962237956408, 'security forces members']
[0.5743015652863087, 'convention decisions authorities']
[0.5741176470588234, 'freedoms convention ukrainian']
[0.5740855264664789, 'family life obligations']
[0.5740287226001513, '02 21 january']
[0.5740287226001513, '36505 02 21']
[0.5739826396508424, 'negative obligations article']
[0.570549679725905, 'inevitable element suffering']
[0.570549679725905, 'suffering humiliation connected']
[0.5681452489671667, 'life broad term']
[0.5680513340087807, 'list cases circumstances']
[0.5680513340087807, 'decide strike application']
[0.5680513340087807, 'proceedings decide strike']
[0.5680513340087807, 'stage proceedings decide']
[0.5680513340087807, 'cases circumstances lead']
[0.5625253906359897, 'thousand euros respect']
[0.5621693121693121, 'conduct criminal proceedings']
[0.5611044417767107, 'taken exercise power']
[0.5602675736961452, 'involved decision making']
[0.5578865344325268, 'code criminal procedure']
[0.5543241943241942, 'right respect home']
[0.5540591405253059, 'rule finding violation']
[0.553163731245923, 'inferiority capable humiliating']
[0.553163731245923, 'capable humiliating debasing']
[0.553032480597873, 'cases accordance procedure']
[0.5521908309809185, 'polish government government']
[0.5520957523903032, 'subject matter background']
[0.5509954211252912, 'reasonably demanded special']
[0.5504019789734076, 'private life court']
[0.5499886833604247, 'application inadmissible holds']
[0.5499059034044457, 'consensus member states']
[0.5494007126660188, 'right establish develop']
[0.5493197278911565, 'anguish inferiority capable']
[0.548469387755102, 'measures sphere relations']
[0.548469387755102, 'adoption measures sphere']
[0.5475623582766439, 'scope margin appreciation']
[0.5452553558736927, 'admissibility merits application']
[0.5451062057476052, 'stake margin allowed']
[0.5440881114350501, 'conformity requirements convention']
[0.542973286875726, 'convention civil aspects']
[0.5428309795606837, 'particular proportionate legitimate']
[0.5427804924786815, 'life shall interference']
[0.5427423981640849, 'social need particular']
[0.540952380952381, 'ukraine judgment strasbourg']
[0.5400276052449966, 'actually necessarily incurred']
[0.5395745599827233, 'vary according circumstances']
[0.5395745599827233, 'according circumstances subject']
[0.5383878834552689, 'shall deprived liberty']
[0.5383878834552689, 'save following cases']
[0.5383878834552689, 'deprived liberty save']
[0.5383878834552689, 'liberty save following']
[0.5366589465795816, 'acting official capacity']
[0.5360468539927704, 'origin association national']
[0.5360468539927704, 'association national minority']
[0.5354788069073784, 'make initial assessment']
[0.5354788069073784, 'authorities make initial']
[0.5354210649777151, 'gives rise possibility']
[0.5354210649777151, 'prison staff prisoner']
[0.5346981048633603, 'colour language religion']
[0.5346981048633603, 'race colour language']
[0.5345804988662132, 'dissuade discourage applicants']
[0.5339368660536543, 'element suffering humiliation']
[0.5339026784056409, 'need particular proportionate']
[0.5337479753806285, 'individual effective enjoyment']
[0.5335097001763668, 'physical psychological integrity']
[0.5332588509856497, 'suffering humiliation involved']
[0.5317118281204475, 'article assessment minimum']
[0.5303755415422724, 'violation committed persons']
[0.5300453514739228, 'available individual especially']
[0.5300453514739228, 'individual especially material']
[0.5294798110174858, 'family life guaranteed']
[0.5293722780117338, 'secured discrimination ground']
[0.5293722780117338, 'shall secured discrimination']
[0.5288775030648836, 'religion political opinion']
[0.5288775030648836, 'ground sex race']
[0.5288775030648836, 'opinion national social']
[0.5288775030648836, 'social origin association']
[0.5283932620667314, 'child wrongfully removed']
[0.5251768481478971, 'european convention adoption']
[0.5251768481478971, 'convention adoption children']
[0.5247721730201514, 'following cases accordance']
[0.5243762783231402, 'authority notwithstanding violation']
[0.5243762783231402, 'national authority notwithstanding']
[0.5243762783231402, 'notwithstanding violation committed']
[0.5243762783231402, 'committed persons acting']
[0.5243762783231402, 'persons acting official']
[0.5238417641938291, 'security person shall']
[0.5238417641938291, 'person shall deprived']
[0.5236180398085161, 'regional court s\\u0105d']
[0.5234923797434843, 'discrimination ground sex']
[0.5225781952992837, 'convention shall secured']
[0.5225781952992837, 'forth convention shall']
[0.521756107661598, 'language religion political']
[0.5213288322847935, 'aspects international child']
[0.5213288322847935, 'civil aspects international']
[0.5159529262230045, 'interference right respect']
[0.5157828510517226, 'legitimate aim pursued']
[0.5154409680929395, 'forth convention violated']
[0.5154409680929395, 'violated shall effective']
[0.5154409680929395, 'shall effective remedy']
[0.5154409680929395, 'convention violated shall']
[0.5152449141849287, 'remedy national authority']
[0.5152449141849287, 'effective remedy national']
[0.5150484436198722, 'article 103 code']
[0.5137322725700451, 'scope article assessment']
[0.5120931017034913, 'rights freedoms safeguarded']
[0.5112781954887218, 'pursued legitimate aim']
[0.5110370678883799, 'authorities determining appropriate']
[0.5102040816326531, 'fair balance relevant']
[0.510120379247896, 'proportionate legitimate aim']
[0.5097813136554057, '13 hague convention']
[0.5092744632974519, 'procedure prescribed law']
[0.5083487940630798, 'strike balance competing']
[0.5060752624749322, 'fear anguish inferiority']
[0.5057299843014129, 'national authorities make']
[0.5029915580690107, 'shall decided speedily']
[0.5029915580690107, 'entitled proceedings lawfulness']
[0.5029915580690107, 'ordered detention lawful']
[0.5029915580690107, 'court release ordered']
[0.5029915580690107, 'release ordered detention']
[0.5029915580690107, 'decided speedily court']
[0.5029915580690107, 'deprived liberty arrest']
[0.5029915580690107, 'detention shall entitled']
[0.5029915580690107, 'liberty arrest detention']
[0.5029915580690107, 'arrest detention shall']
[0.5029915580690107, 'shall entitled proceedings']
[0.5029915580690107, 'speedily court release']
[0.5029915580690107, 'lawfulness detention shall']
[0.5029915580690107, 'proceedings lawfulness detention']
[0.5029915580690107, 'detention shall decided']
[0.5024312306834254, 'enjoyment rights freedoms']
[0.5014577259475219, 'right protection reputation']
[0.501417512817935, 'violation article 14']
[0.5013051732320836, 'home office guidelines']
[0.5011223427126198, 'rights building strasbourg']
[0.5011223427126198, 'human rights building']
[0.5000500200080032, 'family life hand']
[0.4976207773909379, 'taking child care']
[0.49682744583777283, 'remains subject review']
[0.4963122090941639, 'clarity scope manner']
[0.4936632187121424, 'according particular circumstances']
[0.4936632187121424, 'admit territory relatives']
[0.4936632187121424, 'vary according particular']
[0.4936632187121424, 'particular circumstances persons']
[0.4936632187121424, 'circumstances persons involved']
[0.4931332533013206, 'trial reasonable time']
[0.49252527758823894, 'concerned applicant family']
[0.4919658250316356, 'monitoring applicant correspondence']
[0.49109833806940506, 'conferred public authorities']
[0.49109833806940506, 'discretion conferred public']
[0.49093750466795855, 'iii alleged violation']
[0.49039395978171485, 'subject review court']
[0.4871794871794871, 'reasonable appropriate measures']
[0.4864075561950959, 'violation article 13']
[0.48379136065703227, 'connected given form']
[0.48379136065703227, 'given form legitimate']
[0.48379136065703227, 'form legitimate treatment']
[0.48327664399092973, 'identification punishment responsible']
[0.48311688311688317, 'humiliation connected given']
[0.4790696927260804, 'positive obligations article']
[0.4789151131002281, 'interference accordance law']
[0.47863247863247854, 'granted residence permit']
[0.4776702995801956, 'commission human rights']
[0.47633552354843856, 'balance competing private']
[0.47633552354843856, 'competing private public']
[0.4758629377676997, 'applied purpose prescribed']
[0.4758629377676997, 'freedoms shall applied']
[0.4758629377676997, 'permitted convention said']
[0.4758629377676997, 'restrictions permitted convention']
[0.4755857898715042, 'essential maintaining public']
[0.47456340302264016, 'physical mental suffering']
[0.47438567263640147, 'persons concerned applicant']
[0.4731221025580496, 'substantive provisions convention']
[0.4728132387706856, 'facto family ties']
[0.4709214252782718, 'court heard addresses']
[0.47086660751257015, 'applicant family situation']
[0.4702515927005724, 'deputy registrar having']
[0.4701558042571868, 'respondent state comply']
[0.4699941992300796, 'committee prevention torture']
[0.46680881307746974, 'authorities prison officials']
[0.46599627812935046, 'presuppose breach provisions']
[0.4652183454026772, 'permanent residence permit']
[0.46450802543239517, 'form pressure authorities']
[0.46450802543239517, 'withdraw modify complaints']
[0.46450802543239517, 'authorities withdraw modify']
[0.46450802543239517, 'pressure authorities withdraw']
[0.46450802543239517, 'subjected form pressure']
[0.46450802543239517, 'applicants able communicate']
[0.46450802543239517, 'able communicate freely']
[0.4625560862642929, 'adduced justify measures']
[0.4601151229722658, 'broad term susceptible']
[0.4601151229722658, 'term susceptible exhaustive']
[0.45931637542080483, 'family life article']
[0.45893680052666225, 'states afforded discretion']
[0.45893680052666225, 'afforded discretion manner']
[0.4583738257207645, 'reimbursed article 41']
[0.4559076513868558, 'practical demands imprisonment']
[0.45538125241095534, 'improper indirect acts']
[0.45455901658909176, 'actual breach provision']
[0.45455901658909176, 'existence actual breach']
[0.45455901658909176, 'provision prerequisite application']
[0.4533026113671275, 'individual arbitrary interference']
[0.45209566666346845, 'composed following judges']
[0.45049934867564045, 'measure legal protection']
[0.44952110197312756, 'seen degree sufficient']
[0.44952110197312756, 'process seen degree']
[0.4491821617535903, 'prevention torture inhuman']
[0.447442658655502, 'does merely compel']
[0.447442658655502, 'merely compel state']
[0.4464646464646465, 'wrongful removal retention']
[0.4446198368850303, 'human rights commission']
[0.4442016247802746, 'incurred reasonable quantum']
[0.4442016247802746, 'necessarily incurred reasonable']
[0.4435603900370939, 'european commission human']
[0.4420667395227082, 'breach provisions extent']
[0.4420667395227082, 'provisions extent autonomous']
[0.4416968153676429, 'appeared court government']
[0.4396993365247334, 'application ukraine lodged']
[0.4396993365247334, 'originated application ukraine']
[0.43722060252672496, 'family life immigration']
[0.43698225411588726, 'rights obligations entitled']
[0.43682578209277234, 'respect human dignity']
[0.43679716784673056, 'national security stake']
[0.43505929296507206, 'effective operation individual']
[0.43505929296507206, 'utmost importance effective']
[0.43505929296507206, 'importance effective operation']
[0.43315030578992014, 'similar contexts regard']
[0.4325098460436806, 'international child abduction']
[0.43197278911564624, 'decisive national authorities']
[0.4317226890756302, 'determination civil rights']
[0.4307585760084001, 'interference necessary democratic']
[0.4306645735217164, 'child habitually resident']
[0.4279740570063151, 'obligations article 34']
[0.4274394268837169, 'article convention provides']
[0.4259590996158327, 'particular circumstances case']
[0.42517006802721086, 'authorities manner exercise']
[0.42508775563308854, 'conclusively rule finding']
[0.4248742975451049, 'prison authorities prison']
[0.4238353569275811, 'court unanimously declares']
[0.42274052478134116, 'treatment discriminatory objective']
[0.42214285714285715, 'aims listed necessary']
[0.42208511311501345, 'european committee prevention']
[0.4218327833488184, 'republic turkey lodged']
[0.42165626581211, 'acts contacts designed']
[0.4179550608122037, 'real existence practice']
[0.41786848072562355, 'republic bulgaria lodged']
[0.41786848072562355, 'bulgaria european court']
[0.41786848072562355, 'bulgarian government government']
[0.4176336000947034, 'direct coercion flagrant']
[0.4176336000947034, 'flagrant acts intimidation']
