[1.0, u'procedure case originated']
[0.45500000000000002, u'longer certain period']
[0.45500000000000002, u'national judicial authorities']
[0.45500000000000002, u'persistence indications guilt']
[0.45000000000000001, u'article convention applicant']
[0.45000000000000001, u'fear anguish inferiority']
[0.45000000000000001, u'lawfulness continued detention']
[0.45000000000000001, u'pre trial investigation']
[0.44500000000000001, u'continued detention justified']
[0.44500000000000001, u'obtain voluminous evidence']
[0.44500000000000001, u'republic bulgaria lodged']
[0.44500000000000001, u'satisfaction injured party']
[0.44500000000000001, u'shall enforceable right']
[0.44500000000000001, u'society order achieve']
[0.44, u'application partly admissible']
[0.44, u'article convention iv']
[0.44, u'authorities justifiably consider']
[0.44, u'prevention torture inhuman']
[0.44, u'security court convicted']
[0.435, u'128 code criminal']
[0.435, u'arrest detention contravention']
[0.435, u'speedily court release']
[0.42999999999999999, u'article 50 art']
[0.42999999999999999, u'granted legal aid']
[0.42999999999999999, u'investigation terrorist offences']
[0.42999999999999999, u'order detention remand']
[0.42999999999999999, u'victim arrest detention']
[0.42499999999999999, u'application republic bulgaria']
[0.42499999999999999, u'identification punishment responsible']
[0.42499999999999999, u'turkey lodged court']
[0.41999999999999998, u'authorised law exercise']
[0.41999999999999998, u'basis reasons given']
[0.41999999999999998, u'conditioned guarantees appear']
[0.41999999999999998, u'declared admissible merits']
[0.41999999999999998, u'purpose bringing competent']
[0.41999999999999998, u'release conditioned guarantees']
[0.41999999999999998, u'released pending trial']
[0.41499999999999998, u'light particular circumstances']
[0.40999999999999998, u'168 criminal code']
[0.40999999999999998, u'55 rules court']
[0.40999999999999998, u'awards applicant eur']
[0.40999999999999998, u'detention contravention provisions']
[0.40999999999999998, u'existence persistence indications']
[0.40999999999999998, u'obstruct proper course']
[0.40999999999999998, u'polish national mr']
[0.40999999999999998, u'provides arrested detained']
[0.40999999999999998, u'state security courts']
[0.40500000000000003, u'application republic latvia']
[0.40000000000000002, u'article convention 47']
[0.40000000000000002, u'nations convention rights']
[0.40000000000000002, u'persistence reasonable suspicion']
[0.40000000000000002, u'relevant element assessment']
[0.40000000000000002, u'require provisional release']
[0.40000000000000002, u'study case file']
[0.39500000000000002, u'period taken consideration']
[0.39000000000000001, u'article 27 convention']
[0.39000000000000001, u'court notes complaint']
[0.39000000000000001, u'court reiterates article']
[0.39000000000000001, u'exhaust domestic remedies']
[0.39000000000000001, u'notes inadmissible grounds']
[0.39000000000000001, u'reasons continued detention']
[0.39000000000000001, u'russian federation european']
[0.38500000000000001, u'bringing competent legal']
[0.38500000000000001, u'iv alleged violation']
[0.38500000000000001, u'meaning article 35']
[0.38, u'decided speedily court']
[0.38, u'national authorities ruled']
[0.38, u'parties submissions applicant']
[0.38, u'severity penalty liable']
[0.375, u'alleged ill treatment']
[0.375, u'case file state']
[0.375, u'compulsory jurisdiction court']
[0.375, u'detained suspicion having']
[0.375, u'federation european court']
[0.37, u'application republic moldova']
[0.37, u'case require depart']
[0.37, u'detention remand unreasonable']
[0.37, u'georgia lodged court']
[0.37, u'law exercise judicial']
[0.37, u'remand shall imposed']
[0.36499999999999999, u'originated application georgia']
[0.36499999999999999, u'rule 55 rules']
[0.35999999999999999, u'application georgia lodged']
[0.35999999999999999, u'criminal procedure 1997']
[0.35999999999999999, u'length detention applicant']
[0.35499999999999998, u'complaint manifestly ill']
[0.35499999999999998, u'genuine requirement public']
[0.35499999999999998, u'incumbent domestic authorities']
[0.34999999999999998, u'detainee right respect']
[0.34999999999999998, u'georgian government government']
[0.34999999999999998, u'inhuman degrading treatment']
[0.34999999999999998, u'law convention essentially']
[0.34999999999999998, u'person charged offence']
[0.34499999999999997, u'authorities ruled applicant']
[0.34499999999999997, u'capable humiliating debasing']
[0.34000000000000002, u'adherence rule law']
[0.34000000000000002, u'decisions ordering continued']
[0.33500000000000002, u'35 convention notes']
[0.33500000000000002, u'agent mr zaytsev']
[0.33500000000000002, u'injured party damage']
[0.33500000000000002, u'representative russian federation']
[0.33000000000000002, u'taking consideration gravity']
[0.32500000000000001, u'applicable material time']
[0.32500000000000001, u'art 32 art']
[0.32500000000000001, u'level severity fall']
[0.32500000000000001, u'officer authorised law']
[0.32500000000000001, u'united kingdom great']
[0.32000000000000001, u'detention grounds regarded']
[0.32000000000000001, u'diyarbak\u0131r state security']
[0.32000000000000001, u'european committee prevention']
[0.32000000000000001, u'federation lodged court']
[0.32000000000000001, u'particular circumstances case']
[0.32000000000000001, u'prospect loss security']
[0.315, u'compensation respect deprivation']
[0.315, u'consideration gravity offence']
[0.315, u'grounds declared admissible']
[0.31, u'applicant state health']
[0.31, u'britain northern ireland']
[0.31, u'case trial court']
[0.31, u'domestic authorities establish']
[0.31, u'great britain northern']
[0.31, u'inadmissible grounds declared']
[0.31, u'regard national economic']
[0.31, u'united nations convention']
[0.30499999999999999, u'applicant continued detention']
[0.30499999999999999, u'ordering continued detention']
[0.30499999999999999, u'rule 59 facts']
[0.29999999999999999, u'according special features']
[0.29999999999999999, u'court finds particular']
[0.29999999999999999, u'court power grant']
[0.29999999999999999, u'damage resulting deprivation']
[0.29999999999999999, u'freedoms convention polish']
[0.29999999999999999, u'material time prosecutor']
[0.29999999999999999, u'presumption favour release']
[0.29999999999999999, u'proceedings adversarial ensure']
[0.29999999999999999, u'provisions code criminal']
[0.29499999999999998, u'circumstances case regard']
[0.29499999999999998, u'continuing detention ceases']
[0.29499999999999998, u'court ordered release']
[0.29499999999999998, u'judge officer authorised']
[0.29499999999999998, u'law necessary democratic']
[0.29499999999999998, u'mr macdonald mr']
[0.28999999999999998, u'1999 article 31']
[0.28999999999999998, u'fundamental right liberty']
[0.28999999999999998, u'investigating judge ordered']
[0.28499999999999998, u'article 168 criminal']
[0.28499999999999998, u'court s\u0105d okr\u0119gowy']
[0.28499999999999998, u'guarantee article requires']
[0.28499999999999998, u'instant case require']
[0.28499999999999998, u'period detention remand']
[0.28499999999999998, u'relatively longer period']
[0.28499999999999998, u'republic moldova lodged']
[0.28499999999999998, u'right liberty security']
[0.28499999999999998, u'ruled applicant detention']
[0.28499999999999998, u'severity fall scope']
[0.28000000000000003, u'accused person detained']
[0.28000000000000003, u'anti terrorist branch']
[0.28000000000000003, u'establishment truth criminal']
[0.28000000000000003, u'promptness assessed case']
[0.28000000000000003, u'required article convention']
[0.28000000000000003, u'specific indications genuine']
[0.27500000000000002, u'32 art 47']
[0.27500000000000002, u'applicant detained conviction']
[0.27500000000000002, u'article requires global']
[0.27500000000000002, u'case originated application']
[0.27500000000000002, u'commission human rights']
[0.27500000000000002, u'complained article convention']
[0.27500000000000002, u'court russian federation']
[0.27500000000000002, u'detention remand article']
[0.27000000000000002, u'belonged executive branch']
[0.27000000000000002, u'violation constituted sufficient']
[0.26500000000000001, u'1994 court held']
[0.26500000000000001, u'act sufficient deterrent']
[0.26500000000000001, u'armed criminal gang']
[0.26500000000000001, u'article convention relevant']
[0.26500000000000001, u'detention end hearing']
[0.26500000000000001, u'founded meaning article']
[0.26500000000000001, u'periods pending trial']
[0.26500000000000001, u'prevention disorder crime']
[0.26500000000000001, u'reasonable time release']
[0.26000000000000001, u'applicant complaint article']
[0.26000000000000001, u'consistently relied gravity']
[0.26000000000000001, u'ensure equality arms']
[0.26000000000000001, u'kingdom great britain']
[0.26000000000000001, u'multiple consecutive detention']
[0.26000000000000001, u'period pre trial']
[0.26000000000000001, u'release ordered detention']
[0.26000000000000001, u'sine qua non']
[0.26000000000000001, u'statement public official']
[0.26000000000000001, u'time guarantee article']
[0.255, u'determination criminal charge']
[0.255, u'reasonable time guarantee']
[0.25, u'account gravity charges']
[0.25, u'apply compensation respect']
[0.25, u'case court awards']
[0.25, u'detained separate periods']
[0.25, u'finally applicant submitted']
[0.25, u'holding custody entire']
[0.25, u'importance democratic society']
[0.25, u'requires global assessment']
[0.25, u'resulting deprivation liberty']
[0.25, u'supreme court cassation']
[0.245, u'articles 44 48']
[0.245, u'court considers reduction']
[0.245, u'diligence conduct proceedings']
[0.245, u'dispel wish abscond']
[0.245, u'right respect correspondence']
[0.245, u'treatment contrary article']
[0.23999999999999999, u'committed offence condition']
[0.23999999999999999, u'effected purpose bringing']
[0.23999999999999999, u'interference accordance law']
[0.23999999999999999, u'narrow interpretation exceptions']
[0.23999999999999999, u'person detained separate']
[0.23999999999999999, u'reasonable suspicion applicant']
[0.23999999999999999, u'separate periods pending']
[0.23499999999999999, u'94 court reiterates']
[0.23499999999999999, u'inferiority capable humiliating']
[0.23000000000000001, u'account unreasonable length']
[0.23000000000000001, u'criminal group applicant']
[0.23000000000000001, u'pending trial unless']
[0.23000000000000001, u'proceedings applicant conducted']
[0.23000000000000001, u'promptly judge judicial']
[0.23000000000000001, u'statutory time limit']
[0.23000000000000001, u'substantive conditions essential']
[0.22500000000000001, u'applicant charged criminal']
[0.22500000000000001, u'case according special']
[0.22500000000000001, u'consideration essentially require']
[0.22500000000000001, u'ensuing criminal proceedings']
[0.22500000000000001, u'guarantees fundamental right']
[0.22500000000000001, u'guarantees required article']
[0.22500000000000001, u'having committed criminal']
[0.22500000000000001, u'repeatedly held severity']
[0.22, u'article 25 art']
[0.22, u'court s\u0105d rejonowy']
[0.22, u'held severity sentence']
[0.22, u'justify deprivation liberty']
[0.22, u'presents authorities special']
[0.22, u'suffered benefit guarantees']
[0.215, u'18 september 2001']
[0.215, u'29 november 1988']
[0.215, u'applicant conducted diligence']
[0.215, u'continued deprivation liberty']
[0.215, u'convention notes inadmissible']
[0.215, u'fundamental freedoms convention']
[0.215, u'moldova lodged court']
[0.215, u'offence condition sine']
[0.215, u'primary importance democratic']
[0.215, u'trial detention centre']
[0.215, u'unlawfully arrested detained']
[0.20999999999999999, u'000 russian roubles']
[0.20999999999999999, u'2002 court declared']
[0.20999999999999999, u'applicant authorities justifiably']
[0.20999999999999999, u'breach article convention']
[0.20999999999999999, u'conducted diligence period']
[0.20999999999999999, u'convention guarantees fundamental']
[0.20999999999999999, u'examine proceedings applicant']
[0.20999999999999999, u'justifying applicant continued']
[0.20999999999999999, u'sufficient deterrent dispel']
[0.20499999999999999, u'appearance trial act']
[0.20499999999999999, u'basis clear rules']
[0.20499999999999999, u'court rule finding']
[0.20499999999999999, u'detention remand government']
[0.20499999999999999, u'detention remand shall']
[0.20499999999999999, u'does article right']
[0.20499999999999999, u'lasts longer certain']
[0.20499999999999999, u'non lawfulness continued']
[0.20499999999999999, u'present case detention']
[0.20499999999999999, u'procedural substantive conditions']
[0.20499999999999999, u'sufficient justify entire']
[0.20000000000000001, u'access court subject']
[0.20000000000000001, u'appear case presented']
[0.20000000000000001, u'article right access']
[0.20000000000000001, u'authorities special problems']
[0.20000000000000001, u'charged severity penalty']
[0.20000000000000001, u'decided rule admissibility']
[0.20000000000000001, u'detention exceeded reasonable']
[0.20000000000000001, u'deterrent dispel wish']
[0.20000000000000001, u'essentially require provisional']
[0.20000000000000001, u'legal basis clear']
[0.20000000000000001, u'proper course proceedings']
[0.20000000000000001, u'reasonable time tribunal']
[0.20000000000000001, u'ukraine lodged court']
[0.19500000000000001, u'according case law']
[0.19500000000000001, u'application preventive measure']
[0.19500000000000001, u'envisage possibility imposing']
[0.19500000000000001, u'observations admissibility merits']
[0.19500000000000001, u'taken consideration began']
[0.19500000000000001, u'time release pending']
[0.19, u'addition justified necessary']
[0.19, u'application article 50']
[0.19, u'arrested detained suspicion']
[0.19, u'cited judicial authorities']
[0.19, u'court considers failing']
[0.19, u'court determine applicant']
[0.19, u'court subject reasonable']
[0.19, u'december 2002 25']
[0.19, u'fixing appropriate bail']
[0.19, u'health liberty honour']
[0.19, u'incompatible article convention']
[0.19, u'preventive measure applied']
[0.19, u'shall decided speedily']
[0.19, u'worded material time']
[0.185, u'article art convention']
[0.185, u'court notes material']
[0.185, u'depriving person liberty']
[0.185, u'given judicial authorities']
[0.185, u'interpretation exceptions consistent']
[0.185, u'rejects government preliminary']
[0.185, u'supreme court russian']
[0.185, u'suspect placed custody']
[0.17999999999999999, u'25 art 25']
[0.17999999999999999, u'article 128 code']
[0.17999999999999999, u'article enshrines does']
[0.17999999999999999, u'consecutive detention periods']
[0.17999999999999999, u'court does consider']
[0.17999999999999999, u'detention police custody']
[0.17999999999999999, u'euros eur respect']
[0.17999999999999999, u'exceptions consistent aim']
[0.17999999999999999, u'feelings fear anguish']
[0.17999999999999999, u'government asked court']
[0.17999999999999999, u'interfere establishment truth']
[0.17999999999999999, u'law article enshrines']
[0.17999999999999999, u'offered guarantees independence']
[0.17999999999999999, u'qua non validity']
[0.17999999999999999, u'reasonable meaning article']
[0.17999999999999999, u'trial reasonable time']
[0.17499999999999999, u'applied applicant case']
[0.17499999999999999, u'appropriate kind deprivation']
[0.17499999999999999, u'court accepts suspicion']
[0.17499999999999999, u'element assessment risk']
[0.17499999999999999, u'grounds cited judicial']
[0.17499999999999999, u'ill founded meaning']
[0.17499999999999999, u'prescribed law article']
[0.17499999999999999, u'reasonable limitations impair']
[0.17499999999999999, u'right accordance law']
[0.17499999999999999, u'set court judgments']
[0.17499999999999999, u'sufficiently precise allow']
[0.17499999999999999, u'time deprived liberty']
[0.17499999999999999, u'trial act sufficient']
[0.17000000000000001, u'000 polish zlotys']
[0.17000000000000001, u'accordance requirements article']
[0.17000000000000001, u'applicant continued deprivation']
[0.17000000000000001, u'article complied possible']
[0.17000000000000001, u'domestic law practice']
[0.17000000000000001, u'establish grounds cited']
[0.17000000000000001, u'justified necessary democratic']
[0.17000000000000001, u'period applicant detention']
[0.17000000000000001, u'satisfy certain conditions']
[0.17000000000000001, u'subject reasonable limitations']
[0.17000000000000001, u'validity continued detention']
[0.16500000000000001, u'000 respect non']
[0.16500000000000001, u'convention account unreasonable']
[0.16500000000000001, u'exercise right accordance']
[0.16500000000000001, u'facts mentioned applicant']
[0.16500000000000001, u'need obtain voluminous']
[0.16500000000000001, u'severity possible sentence']
[0.16, u'article convention total']
[0.16, u'case court notes']
[0.16, u'committee prevention torture']
[0.16, u'court filed indictment']
[0.16, u'danger absconding court']
[0.16, u'democratic society order']
[0.16, u'false testimony obstruct']
[0.16, u'freedoms convention bulgarian']
[0.16, u'go\u0142ek poland celejewski']
[0.16, u'set forth paragraph']
[0.16, u'time admissibility applicant']
[0.155, u'case person detention']
[0.155, u'competent national authorities']
[0.155, u'factor existence persistence']
[0.155, u'finding violation constituted']
[0.155, u'given case specific']
[0.155, u'judgment istanbul state']
[0.155, u'judicial power respected']
[0.155, u'justify applicant detention']
[0.155, u'poland celejewski poland']
[0.155, u'prosecutor order detention']
[0.155, u'public authority exercise']
[0.155, u'raised respondent contracting']
[0.155, u'represented mr laptev']
[0.155, u'respect family life']
[0.155, u'rule finding violation']
[0.155, u'rule respect individual']
[0.155, u'shall entitled proceedings']
[0.14999999999999999, u'11 july 2006']
[0.14999999999999999, u'anguish inferiority capable']
[0.14999999999999999, u'appeal decision dismissed']
[0.14999999999999999, u'circumstances consequences given']
[0.14999999999999999, u'continued detention indispensable']
[0.14999999999999999, u'continued detention remand']
[0.14999999999999999, u'convention failure comply']
[0.14999999999999999, u'family life essential']
[0.14999999999999999, u'impairing essence right']
[0.14999999999999999, u'justify relatively longer']
[0.14999999999999999, u'law enforcement officers']
[0.14999999999999999, u'limitations impair essence']
[0.14999999999999999, u'medical care provided']
[0.14999999999999999, u'relevant factor existence']
[0.14999999999999999, u'ruling equitable basis']
[0.14999999999999999, u'transmitted committee ministers']
[0.14499999999999999, u'accepts suspicion applicant']
[0.14499999999999999, u'case specific indications']
[0.14499999999999999, u'detention facility iz']
[0.14499999999999999, u'government plea inadmissibility']
[0.14499999999999999, u'grounds given judicial']
[0.14499999999999999, u'guarantees appropriate kind']
[0.14499999999999999, u'person liberty entails']
[0.14499999999999999, u'present case authorities']
[0.14499999999999999, u'protect community terrorism']
[0.14499999999999999, u'rule admissibility merits']
[0.14499999999999999, u'rules court plea']
[0.14499999999999999, u'truth criminal case']
[0.14499999999999999, u'united kingdom judgment']
[0.14000000000000001, u'263 code criminal']
[0.14000000000000001, u'accordance law pursue']
[0.14000000000000001, u'articles 23 24']
[0.14000000000000001, u'authority exercise right']
[0.14000000000000001, u'care fixing appropriate']
[0.14000000000000001, u'convention total time']
[0.14000000000000001, u'detention city court']
[0.14000000000000001, u'district court s\u0105d']
[0.14000000000000001, u'essentially basis reasons']
[0.14000000000000001, u'factor taken account']
[0.14000000000000001, u'leading identification punishment']
[0.14000000000000001, u'need assist maintaining']
[0.14000000000000001, u'offences undoubtedly presents']
[0.14000000000000001, u'shall interference public']
[0.14000000000000001, u'taken police custody']
[0.14000000000000001, u'turkish government government']
[0.13500000000000001, u'appropriate advice foresee']
[0.13500000000000001, u'appropriate bail deciding']
[0.13500000000000001, u'article convention time']
[0.13500000000000001, u'authorities care fixing']
[0.13500000000000001, u'code execution criminal']
[0.13500000000000001, u'convention bulgarian national']
[0.13500000000000001, u'damage costs expenses']
[0.13500000000000001, u'enshrines does article']
[0.13500000000000001, u'indicate reasonable clarity']
[0.13500000000000001, u'indictment applicant persons']
[0.13500000000000001, u'issue article convention']
[0.13500000000000001, u'judicial power meaning']
[0.13500000000000001, u'private family life']
[0.13500000000000001, u'release detention state']
[0.13500000000000001, u'secure rule law']
[0.13, u'absconding reoffending need']
[0.13, u'adopts standard proof']
[0.13, u'art art convention']
[0.13, u'complaint article convention']
[0.13, u'court decision 13']
[0.13, u'enable need assist']
[0.13, u'evidence relevant factor']
[0.13, u'final judgment court']
[0.13, u'january 2001 applicant']
[0.13, u'length detention remand']
[0.13, u'particular process obtaining']
[0.13, u'practising warsaw polish']
[0.13, u'reasonable circumstances consequences']
[0.13, u'receive impart information']
[0.13, u'reoffending need continue']
[0.13, u'terrorist offences undoubtedly']
[0.125, u'60 court notes']
[0.125, u'appeal instance court']
[0.125, u'applicant maintained complaint']
[0.125, u'case referred court']
[0.125, u'consequences given action']
[0.125, u'deprive individual concerned']
[0.125, u'execution criminal sentences']
[0.125, u'forms ill treatment']
[0.125, u'life essential detainee']
[0.125, u'observations admissibility application']
[0.125, u'offence released pending']
[0.125, u'present case applicant']
[0.125, u'pursues legitimate aims']
[0.125, u'right access court']
[0.125, u'zapobiegawcze set court']
[0.12, u'advice foresee degree']
[0.12, u'appearance collusion tolerance']
[0.12, u'applicant detention lasted']
[0.12, u'arbitrary unjustified deprivation']
[0.12, u'clarity scope manner']
[0.12, u'copy applicant medical']
[0.12, u'exercise judicial power']
[0.12, u'foreign commonwealth office']
[0.12, u'general expression state']
[0.12, u'importance right liberty']
[0.12, u'kind deprivation liberty']
[0.12, u'non validity continued']
[0.12, u'security court held']
[0.115, u'1998 defines detention']
[0.115, u'27 november 1991']
[0.115, u'capable leading identification']
[0.115, u'claiming non exhaustion']
[0.115, u'days judicial intervention']
[0.115, u'defines detention remand']
[0.115, u'finds particular circumstances']
[0.115, u'gathering hearing evidence']
[0.115, u'independence executive parties']
[0.115, u'investigator prosecutor court']
[0.115, u'june 1968 series']
[0.115, u'liberty arrest detention']
[0.115, u'protection personal rights']
[0.115, u'reasonable clarity scope']
[0.115, u'respondent contracting party']
[0.115, u'security court dismissed']
[0.115, u'van den brink']
[0.11, u'access case file']
[0.11, u'authorities enable need']
[0.11, u'court dismissed applicant']
[0.11, u'court heard addresses']
[0.11, u'criteria laid court']
[0.11, u'decision concerning preventive']
[0.11, u'essential detainee right']
[0.11, u'given action entail']
[0.11, u'law pursue legitimate']
[0.11, u'objection dismissed ii']
[0.11, u'persons unlawfully arrested']
[0.11, u'warsaw polish government']
[0.11, u'wroc\u0142aw court appeal']
[0.105, u'adequate medical treatment']
[0.105, u'applicant request release']
[0.105, u'court notes government']
[0.105, u'detention remand ordered']
[0.105, u'entails inherent limitations']
[0.105, u'legitimate aims referred']
[0.105, u'pending trial reasonable']
[0.105, u'person detention falls']
[0.105, u'provided lasts longer']
[0.105, u'provides deprived liberty']
[0.105, u'reasonable time referred']
[0.105, u'relied likelihood severe']
[0.105, u'right protected provision']
[0.105, u'rule exhaustion domestic']
[0.105, u'specific legal basis']
[0.105, u'subjected torture inhuman']
[0.105, u'tolerance unlawful acts']
[0.105, u'undoubtedly presents authorities']
[0.10000000000000001, u'acknowledges view seriousness']
[0.10000000000000001, u'adversarial ensure equality']
[0.10000000000000001, u'agent mr wo\u0142\u0105siewicz']
[0.10000000000000001, u'authorities unlimited power']
[0.10000000000000001, u'complaint constitutional court']
[0.10000000000000001, u'court plea inadmissibility']
[0.10000000000000001, u'court set aside']
[0.10000000000000001, u'degree reasonable circumstances']
[0.10000000000000001, u'entire relevant period']
[0.10000000000000001, u'family life authorities']
[0.10000000000000001, u'flexibility interpretation weakening']
[0.10000000000000001, u'inherent limitations private']
[0.10000000000000001, u'longer suffices court']
[0.10000000000000001, u'measure depriving person']
[0.10000000000000001, u'presumption innocence violated']
[0.10000000000000001, u'provided code criminal']
[0.10000000000000001, u'shall subjected torture']
[0.10000000000000001, u'using identical stereotyped']
[0.095000000000000001, u'04 22 23']
[0.095000000000000001, u'aims referred paragraph']
[0.095000000000000001, u'certain period justification']
[0.095000000000000001, u'considerations court finds']
[0.095000000000000001, u'court considered applicant']
[0.095000000000000001, u'court extended applicant']
[0.095000000000000001, u'hearing evidence difficult']
[0.095000000000000001, u'ill treatment applicant']
[0.095000000000000001, u'justify pre trial']
[0.095000000000000001, u'liberty entails inherent']
[0.095000000000000001, u'moscow city court']
[0.095000000000000001, u'polish zlotys pln']
[0.095000000000000001, u'process gathering hearing']
[0.095000000000000001, u'release pre trial']
[0.095000000000000001, u'requisite accessibility effectiveness']
[0.095000000000000001, u'rules court decision']
[0.095000000000000001, u'time referred article']
[0.095000000000000001, u'trial unless state']
[0.089999999999999997, u'accordance law pursues']
[0.089999999999999997, u'bulgaria lodged court']
[0.089999999999999997, u'bulgarian national mr']
[0.089999999999999997, u'circumstances court finds']
[0.089999999999999997, u'collusion tolerance unlawful']
[0.089999999999999997, u'court challenge lawfulness']
[0.089999999999999997, u'crime involving numerous']
[0.089999999999999997, u'decisions authorising detention']
[0.089999999999999997, u'detention covered court']
[0.089999999999999997, u'detriment individual risk']
[0.089999999999999997, u'different conclusion case']
[0.089999999999999997, u'domestic courts particular']
[0.089999999999999997, u'european court human']
[0.089999999999999997, u'evidence content file']
[0.089999999999999997, u'examine facts arguing']
[0.089999999999999997, u'exceeded reasonable time']
[0.089999999999999997, u'existence general risk']
[0.089999999999999997, u'expressly mentioned domestic']
[0.089999999999999997, u'failed justify applicant']
[0.089999999999999997, u'ill treatment attain']
[0.089999999999999997, u'judicial authorities examine']
[0.089999999999999997, u'law pursues legitimate']
[0.089999999999999997, u'measures required cases']
[0.089999999999999997, u'preliminary objection non']
[0.089999999999999997, u'preventive measures appealed']
[0.089999999999999997, u'remedies domestic law']
[0.089999999999999997, u'risk impairing essence']
[0.089999999999999997, u'security right primary']
[0.089999999999999997, u'treatment punishment cpt']
[0.085000000000000006, u'59 facts circumstances']
[0.085000000000000006, u'applicant appeals court']
[0.085000000000000006, u'applicant taken custody']
[0.085000000000000006, u'application preventive measures']
[0.085000000000000006, u'article convention requires']
[0.085000000000000006, u'compensation persons unlawfully']
[0.085000000000000006, u'confirm existence danger']
[0.085000000000000006, u'constraint imposed requirement']
[0.085000000000000006, u'convention polish national']
[0.085000000000000006, u'detention applicant complains']
[0.085000000000000006, u'detention required article']
[0.085000000000000006, u'district court dismissed']
[0.085000000000000006, u'drawing inferences foundedness']
[0.085000000000000006, u'failing lack requisite']
[0.085000000000000006, u'falls ambit article']
[0.085000000000000006, u'file state security']
[0.085000000000000006, u'individual risk impairing']
[0.085000000000000006, u'intended guarantee rights']
[0.085000000000000006, u'judge istanbul state']
[0.085000000000000006, u'judge judicial officer']
[0.085000000000000006, u'judgment court case']
[0.085000000000000006, u'lack requisite accessibility']
[0.085000000000000006, u'non exhaustion satisfy']
[0.085000000000000006, u'public notwithstanding presumption']
[0.085000000000000006, u'pursue legitimate aims']
[0.085000000000000006, u'qua non lawfulness']
[0.085000000000000006, u'represented agent mr']
[0.085000000000000006, u'set time limit']
[0.085000000000000006, u'stated applicant appeals']
[0.085000000000000006, u'subjected various forms']
[0.085000000000000006, u'task establish facts']
[0.085000000000000006, u'terrorist branch istanbul']
[0.085000000000000006, u'view considerations court']
[0.080000000000000002, u'accordance law necessary']
[0.080000000000000002, u'applicant charged severity']
[0.080000000000000002, u'article shall enforceable']
[0.080000000000000002, u'authorities examine circumstances']
[0.080000000000000002, u'committed criminal offence']
[0.080000000000000002, u'complaint article 13']
[0.080000000000000002, u'contravention provisions article']
[0.080000000000000002, u'declined make award']
[0.080000000000000002, u'detention certain lapse']
[0.080000000000000002, u'entitled hearing reasonable']
[0.080000000000000002, u'evidence content case']
[0.080000000000000002, u'guarantee detriment individual']
[0.080000000000000002, u'intensity exceeding unavoidable']
[0.080000000000000002, u'judgment court held']
[0.080000000000000002, u'law particular complexity']
[0.080000000000000002, u'life authorities enable']
